week_num,day_num,set_id,reps,pct_of_max,session_type
1,1,1,6,85.4,training
1,1,2,5,85.4,training
1,1,3,4,85.4,training
1,2,1,6,87.5,training
1,2,2,4,87.5,training
1,2,3,4,85.4,training
2,1,1,4,91.7,training
2,1,2,4,89.6,training
2,1,3,5,85.4,training
2,2,1,7,85.4,training
2,2,2,5,85.4,training
2,2,3,4,85.4,training
3,1,1,4,91.7,training
3,1,2,6,87.5,training
3,1,3,5,85.4,training
4,1,1,8,85.4,training
4,2,1,4,93.8,training
4,2,2,4,91.7,training
4,2,3,6,87.5,training
5,1,1,5,89.6,training
5,1,2,6,85.4,training
5,2,1,3,95.8,training
5,2,2,4,91.7,training
5,2,3,6,87.5,training
6,1,1,2,100.0,training
6,1,2,5,91.7,training
6,2,1,5,91.7,training
6,2,2,8,85.4,training
6,2,3,8,85.4,training
7,1,1,2,102.1,training
7,1,2,5,91.7,training
7,1,3,7,85.4,training
