week_num,day_num,exercise,reps,prescribed_weight_kg,session_type,num_sets,prescription
1,1,bench,4,102.5,training,1,1 x 4 @ 102.5 kg
1,1,bench,5,102.5,training,1,1 x 5 @ 102.5 kg
1,1,bench,6,102.5,training,1,1 x 6 @ 102.5 kg
1,1,deadlift,3,135.0,training,3,3 x 3 @ 135.0 kg
1,1,deadlift,3,142.5,training,1,1 x 3 @ 142.5 kg
1,1,squat,3,112.5,training,2,2 x 3 @ 112.5 kg
1,1,squat,5,107.5,training,2,2 x 5 @ 107.5 kg
1,2,bench,4,102.5,training,1,1 x 4 @ 102.5 kg
1,2,bench,4,105.0,training,1,1 x 4 @ 105.0 kg
1,2,bench,6,105.0,training,1,1 x 6 @ 105.0 kg
1,2,squat,3,112.5,training,3,3 x 3 @ 112.5 kg
1,2,squat,5,107.5,training,3,3 x 5 @ 107.5 kg
2,1,bench,4,107.5,training,1,1 x 4 @ 107.5 kg
2,1,bench,4,110.0,training,1,1 x 4 @ 110.0 kg
2,1,bench,5,102.5,training,1,1 x 5 @ 102.5 kg
2,1,deadlift,3,135.0,training,1,1 x 3 @ 135.0 kg
2,1,deadlift,3,137.5,training,3,3 x 3 @ 137.5 kg
2,1,deadlift,3,152.5,training,1,1 x 3 @ 152.5 kg
2,1,squat,3,117.5,training,2,2 x 3 @ 117.5 kg
2,1,squat,5,112.5,training,2,2 x 5 @ 112.5 kg
2,2,bench,4,102.5,training,1,1 x 4 @ 102.5 kg
2,2,bench,5,102.5,training,1,1 x 5 @ 102.5 kg
2,2,bench,7,102.5,training,1,1 x 7 @ 102.5 kg
2,2,squat,3,120.0,training,2,2 x 3 @ 120.0 kg
2,2,squat,5,112.5,training,3,3 x 5 @ 112.5 kg
2,2,squat,7,120.0,training,1,1 x 7 @ 120.0 kg
3,1,bench,4,110.0,training,1,1 x 4 @ 110.0 kg
3,1,bench,5,102.5,training,1,1 x 5 @ 102.5 kg
3,1,bench,6,105.0,training,1,1 x 6 @ 105.0 kg
3,1,deadlift,3,162.5,training,1,1 x 3 @ 162.5 kg
3,1,deadlift,5,142.5,training,3,3 x 5 @ 142.5 kg
3,1,squat,3,123.75,training,2,2 x 3 @ 123.75 kg
3,1,squat,5,115.0,training,2,2 x 5 @ 115.0 kg
3,2,bench,8,102.5,training,1,1 x 8 @ 102.5 kg
3,2,squat,3,128.75,training,2,2 x 3 @ 128.75 kg
3,2,squat,5,117.5,training,3,3 x 5 @ 117.5 kg
3,2,squat,9,128.75,training,1,1 x 9 @ 128.75 kg
4,1,bench,4,110.0,training,1,1 x 4 @ 110.0 kg
4,1,bench,4,112.5,training,1,1 x 4 @ 112.5 kg
4,1,bench,6,105.0,training,1,1 x 6 @ 105.0 kg
4,1,deadlift,3,170.0,training,1,1 x 3 @ 170.0 kg
4,1,deadlift,4,155.0,training,1,1 x 4 @ 155.0 kg
4,1,deadlift,5,150.0,training,2,2 x 5 @ 150.0 kg
4,1,squat,3,125.0,training,2,2 x 3 @ 125.0 kg
4,1,squat,5,115.0,training,2,2 x 5 @ 115.0 kg
4,2,bench,5,107.5,training,1,1 x 5 @ 107.5 kg
4,2,bench,6,102.5,training,1,1 x 6 @ 102.5 kg
4,2,squat,2,132.5,training,2,2 x 2 @ 132.5 kg
4,2,squat,3,130.0,training,2,2 x 3 @ 130.0 kg
4,2,squat,5,122.5,training,2,2 x 5 @ 122.5 kg
5,1,bench,3,115.0,training,1,1 x 3 @ 115.0 kg
5,1,bench,4,110.0,training,1,1 x 4 @ 110.0 kg
5,1,bench,6,105.0,training,1,1 x 6 @ 105.0 kg
5,1,deadlift,3,160.0,training,1,1 x 3 @ 160.0 kg
5,1,deadlift,3,177.5,training,1,1 x 3 @ 177.5 kg
5,1,deadlift,5,160.0,training,2,2 x 5 @ 160.0 kg
5,1,squat,2,137.5,training,2,2 x 2 @ 137.5 kg
5,1,squat,3,128.75,training,3,3 x 3 @ 128.75 kg
5,1,squat,5,122.5,training,3,3 x 5 @ 122.5 kg
5,2,bench,2,120.0,training,1,1 x 2 @ 120.0 kg
