week_num,day_num,set_id,reps,pct_of_max,session_type
1,1,1,3,89.1,training
1,1,2,3,84.4,training
1,1,3,3,84.4,training
1,1,4,3,84.4,training
1,2,1,3,95.3,training
1,2,2,3,84.4,training
1,2,3,3,85.9,training
1,2,4,3,85.9,training
1,2,5,3,85.9,training
2,1,1,3,101.6,training
2,1,2,5,89.1,training
2,1,3,5,89.1,training
2,1,4,5,89.1,training
3,1,1,3,106.2,training
3,1,2,5,93.8,training
3,1,3,4,96.9,training
3,1,4,5,93.8,training
4,1,1,3,110.9,training
4,1,2,3,100.0,training
4,1,3,5,100.0,training
4,1,4,5,100.0,training
5,1,1,3,114.1,training
5,1,2,2,106.2,training
5,1,3,3,106.2,training
5,1,4,3,100.0,training
6,1,1,5,100.0,training
6,1,2,5,100.0,training
6,1,3,4,106.2,training
7,1,1,5,106.2,training
7,1,2,5,106.2,training
7,1,3,3,112.5,training
7,2,1,3,112.5,training
7,2,2,3,112.5,training
7,2,3,3,100.0,training
8,1,1,1,118.8,training
8,1,2,1,126.6,training
8,1,3,3,107.8,training
8,1,4,3,107.8,training
9,1,1,3,112.5,training
9,1,2,3,112.5,training
10,1,1,2,118.8,training
10,1,2,2,118.8,training
10,1,3,4,106.2,training
