exercise,week_num,day_num,set_id,reps,pct_of_max,session_type,prescribed_weight_kg
bench,1,1,1,6,85.4,training,102.5
bench,1,1,2,5,85.4,training,102.5
bench,1,1,3,4,85.4,training,102.5
deadlift,1,1,1,3,89.1,training,142.5
deadlift,1,1,2,3,84.4,training,135.0
deadlift,1,1,3,3,84.4,training,135.0
deadlift,1,1,4,3,84.4,training,135.0
squat,1,1,1,5,69.0,training,107.5
squat,1,1,2,5,69.0,training,107.5
squat,1,1,3,3,72.9,training,112.5
squat,1,1,4,3,72.9,training,112.5
bench,1,2,1,6,87.5,training,105.0
bench,1,2,2,4,87.5,training,105.0
bench,1,2,3,4,85.4,training,102.5
deadlift,1,2,1,3,95.3,training,152.5
deadlift,1,2,2,3,84.4,training,135.0
deadlift,1,2,3,3,85.9,training,137.5
deadlift,1,2,4,3,85.9,training,137.5
deadlift,1,2,5,3,85.9,training,137.5
squat,1,2,1,5,69.0,training,107.5
squat,1,2,2,5,69.0,training,107.5
squat,1,2,3,5,69.0,training,107.5
squat,1,2,4,3,72.9,training,112.5
squat,1,2,5,3,72.9,training,112.5
squat,1,2,6,3,72.9,training,112.5
bench,2,1,1,4,91.7,training,110.0
bench,2,1,2,4,89.6,training,107.5
bench,2,1,3,5,85.4,training,102.5
deadlift,2,1,1,3,101.6,training,162.5
deadlift,2,1,2,5,89.1,training,142.5
deadlift,2,1,3,5,89.1,training,142.5
deadlift,2,1,4,5,89.1,training,142.5
squat,2,1,1,5,72.9,training,112.5
squat,2,1,2,5,72.9,training,112.5
squat,2,1,3,3,76.1,training,117.5
squat,2,1,4,3,76.1,training,117.5
bench,2,2,1,7,85.4,training,102.5
bench,2,2,2,5,85.4,training,102.5
bench,2,2,3,4,85.4,training,102.5
squat,2,2,1,5,72.9,training,112.5
squat,2,2,2,5,72.9,training,112.5
squat,2,2,3,5,72.9,training,112.5
squat,2,2,4,3,77.4,training,120.0
squat,2,2,5,3,77.4,training,120.0
squat,2,2,6,7,77.4,training,120.0
bench,3,1,1,4,91.7,training,110.0
bench,3,1,2,6,87.5,training,105.0
bench,3,1,3,5,85.4,training,102.5
deadlift,3,1,1,3,106.2,training,170.0
deadlift,3,1,2,5,93.8,training,150.0
deadlift,3,1,3,4,96.9,training,155.0
deadlift,3,1,4,5,93.8,training,150.0
squat,3,1,1,5,74.2,training,115.0
squat,3,1,2,5,74.2,training,115.0
squat,3,1,3,3,80.0,training,123.75
squat,3,1,4,3,80.0,training,123.75
squat,3,2,1,5,75.5,training,117.5
squat,3,2,2,5,75.5,training,117.5
squat,3,2,3,5,75.5,training,117.5
squat,3,2,4,3,83.2,training,128.75
squat,3,2,5,3,83.2,training,128.75
squat,3,2,6,9,83.2,training,128.75
bench,4,1,1,8,85.4,training,102.5
deadlift,4,1,1,3,110.9,training,177.5
deadlift,4,1,2,3,100.0,training,160.0
deadlift,4,1,3,5,100.0,training,160.0
deadlift,4,1,4,5,100.0,training,160.0
squat,4,1,1,5,74.2,training,115.0
squat,4,1,2,5,74.2,training,115.0
squat,4,1,3,3,80.6,training,125.0
squat,4,1,4,3,80.6,training,125.0
bench,4,2,1,4,93.8,training,112.5
bench,4,2,2,4,91.7,training,110.0
bench,4,2,3,6,87.5,training,105.0
squat,4,2,1,5,79.4,training,122.5
squat,4,2,2,5,79.4,training,122.5
squat,4,2,3,3,83.9,training,130.0
squat,4,2,4,3,83.9,training,130.0
squat,4,2,5,2,85.8,training,132.5
squat,4,2,6,2,85.8,training,132.5
squat,4,3,1,5,78.7,training,122.5
squat,4,3,2,5,78.7,training,122.5
squat,4,3,3,5,78.7,training,122.5
squat,4,3,4,3,83.2,training,128.75
squat,4,3,5,3,83.2,training,128.75
squat,4,3,6,3,83.2,training,128.75
squat,4,3,7,2,89.0,training,137.5
squat,4,3,8,2,89.0,training,137.5
bench,5,1,1,5,89.6,training,107.5
bench,5,1,2,6,85.4,training,102.5
deadlift,5,1,1,3,114.1,training,182.5
deadlift,5,1,2,2,106.2,training,170.0
deadlift,5,1,3,3,106.2,training,170.0
deadlift,5,1,4,3,100.0,training,160.0
squat,5,1,1,5,80.0,training,123.75
squat,5,1,2,3,86.3,training,133.75
squat,5,1,3,3,86.3,training,133.75
squat,5,1,4,3,86.3,training,133.75
squat,5,1,5,2,92.1,training,142.5
squat,5,1,6,2,92.1,training,142.5
squat,5,1,7,2,92.1,training,142.5
bench,5,2,1,3,95.8,training,115.0
bench,5,2,2,4,91.7,training,110.0
bench,5,2,3,6,87.5,training,105.0
bench,6,1,1,2,100.0,training,120.0
bench,6,1,2,5,91.7,training,110.0
squat,6,1,1,3,87.7,training,136.25
squat,6,1,2,3,87.7,training,136.25
squat,6,1,3,2,92.1,training,142.5
squat,6,1,4,2,92.1,training,142.5
bench,6,2,1,5,91.7,training,110.0
bench,6,2,2,8,85.4,training,102.5
bench,6,2,3,8,85.4,training,102.5
bench,7,1,1,2,102.1,training,122.5
bench,7,1,2,5,91.7,training,110.0
bench,7,1,3,7,85.4,training,102.5
squat,7,1,1,3,87.1,training,135.0
squat,7,1,2,2,90.3,training,140.0
squat,7,1,3,6,94.8,training,147.5
squat,7,2,1,3,85.2,deload,132.5
squat,7,2,2,2,90.3,deload,140.0
squat,8,1,1,2,90.3,deload,140.0
squat,8,1,2,1,95.5,deload,147.5
squat,8,1,3,1,96.8,deload,150.0
squat,8,2,1,10,12.9,test,20.0
squat,8,2,2,6,45.2,test,70.0
squat,8,2,3,3,64.5,test,100.0
squat,8,2,4,1,77.4,test,120.0
squat,8,2,5,1,90.3,test,140.0
squat,8,2,6,1,100.0,test,155.0
squat,8,2,7,1,105.2,test,162.5
squat,8,2,8,3,100.0,test,155.0
deadlift,12,1,1,5,100.0,training,160.0
deadlift,12,1,2,5,100.0,training,160.0
deadlift,12,1,3,4,106.2,training,170.0
deadlift,13,1,1,5,106.2,training,170.0
deadlift,13,1,2,5,106.2,training,170.0
deadlift,13,1,3,3,112.5,training,180.0
deadlift,13,2,1,3,112.5,training,180.0
deadlift,13,2,2,3,112.5,training,180.0
deadlift,13,2,3,3,100.0,training,160.0
deadlift,14,1,1,1,118.8,training,190.0
deadlift,14,1,2,1,126.6,training,202.5
