exercise,week_num,day_num,set_id,reps,pct_of_max,session_type
squat,1,1,1,5,69.0,training
squat,1,1,2,5,69.0,training
squat,1,1,3,3,72.9,training
squat,1,1,4,3,72.9,training
squat,1,2,1,5,69.0,training
squat,1,2,2,5,69.0,training
squat,1,2,3,5,69.0,training
squat,1,2,4,3,72.9,training
squat,1,2,5,3,72.9,training
squat,1,2,6,3,72.9,training
squat,2,1,1,5,72.9,training
squat,2,1,2,5,72.9,training
squat,2,1,3,3,76.1,training
squat,2,1,4,3,76.1,training
squat,2,2,1,5,72.9,training
squat,2,2,2,5,72.9,training
squat,2,2,3,5,72.9,training
squat,2,2,4,3,77.4,training
squat,2,2,5,3,77.4,training
squat,2,2,6,7,77.4,training
squat,3,1,1,5,74.2,training
squat,3,1,2,5,74.2,training
squat,3,1,3,3,80.0,training
squat,3,1,4,3,80.0,training
squat,3,2,1,5,75.5,training
squat,3,2,2,5,75.5,training
squat,3,2,3,5,75.5,training
squat,3,2,4,3,83.2,training
squat,3,2,5,3,83.2,training
squat,3,2,6,9,83.2,training
squat,4,1,1,5,74.2,training
squat,4,1,2,5,74.2,training
squat,4,1,3,3,80.6,training
squat,4,1,4,3,80.6,training
squat,4,2,1,5,79.4,training
squat,4,2,2,5,79.4,training
squat,4,2,3,3,83.9,training
squat,4,2,4,3,83.9,training
squat,4,2,5,2,85.8,training
squat,4,2,6,2,85.8,training
squat,4,3,1,5,78.7,training
squat,4,3,2,5,78.7,training
squat,4,3,3,5,78.7,training
squat,4,3,4,3,83.2,training
squat,4,3,5,3,83.2,training
squat,4,3,6,3,83.2,training
squat,4,3,7,2,89.0,training
squat,4,3,8,2,89.0,training
squat,5,1,1,5,80.0,training
squat,5,1,2,3,86.3,training
squat,5,1,3,3,86.3,training
squat,5,1,4,3,86.3,training
squat,5,1,5,2,92.1,training
squat,5,1,6,2,92.1,training
squat,5,1,7,2,92.1,training
squat,6,1,1,3,87.7,training
squat,6,1,2,3,87.7,training
squat,6,1,3,2,92.1,training
squat,6,1,4,2,92.1,training
squat,7,1,1,3,87.1,training
squat,7,1,2,2,90.3,training
squat,7,1,3,6,94.8,training
squat,7,2,1,3,85.2,deload
squat,7,2,2,2,90.3,deload
squat,8,1,1,2,90.3,deload
squat,8,1,2,1,95.5,deload
squat,8,1,3,1,96.8,deload
squat,8,2,1,10,12.9,test
squat,8,2,2,6,45.2,test
squat,8,2,3,3,64.5,test
squat,8,2,4,1,77.4,test
squat,8,2,5,1,90.3,test
squat,8,2,6,1,100.0,test
squat,8,2,7,1,105.2,test
squat,8,2,8,3,100.0,test
bench,1,1,1,6,85.4,training
bench,1,1,2,5,85.4,training
bench,1,1,3,4,85.4,training
bench,1,2,1,6,87.5,training
bench,1,2,2,4,87.5,training
bench,1,2,3,4,85.4,training
bench,2,1,1,4,91.7,training
bench,2,1,2,4,89.6,training
bench,2,1,3,5,85.4,training
bench,2,2,1,7,85.4,training
bench,2,2,2,5,85.4,training
bench,2,2,3,4,85.4,training
bench,3,1,1,4,91.7,training
bench,3,1,2,6,87.5,training
bench,3,1,3,5,85.4,training
bench,4,1,1,8,85.4,training
bench,4,2,1,4,93.8,training
bench,4,2,2,4,91.7,training
bench,4,2,3,6,87.5,training
bench,5,1,1,5,89.6,training
bench,5,1,2,6,85.4,training
bench,5,2,1,3,95.8,training
bench,5,2,2,4,91.7,training
bench,5,2,3,6,87.5,training
bench,6,1,1,2,100.0,training
bench,6,1,2,5,91.7,training
bench,6,2,1,5,91.7,training
bench,6,2,2,8,85.4,training
bench,6,2,3,8,85.4,training
bench,7,1,1,2,102.1,training
bench,7,1,2,5,91.7,training
bench,7,1,3,7,85.4,training
deadlift,1,1,1,3,89.1,training
deadlift,1,1,2,3,84.4,training
deadlift,1,1,3,3,84.4,training
deadlift,1,1,4,3,84.4,training
deadlift,1,2,1,3,95.3,training
deadlift,1,2,2,3,84.4,training
deadlift,1,2,3,3,85.9,training
deadlift,1,2,4,3,85.9,training
deadlift,1,2,5,3,85.9,training
deadlift,2,1,1,3,101.6,training
deadlift,2,1,2,5,89.1,training
deadlift,2,1,3,5,89.1,training
deadlift,2,1,4,5,89.1,training
deadlift,3,1,1,3,106.2,training
deadlift,3,1,2,5,93.8,training
deadlift,3,1,3,4,96.9,training
deadlift,3,1,4,5,93.8,training
deadlift,4,1,1,3,110.9,training
deadlift,4,1,2,3,100.0,training
deadlift,4,1,3,5,100.0,training
deadlift,4,1,4,5,100.0,training
deadlift,5,1,1,3,114.1,training
deadlift,5,1,2,2,106.2,training
deadlift,5,1,3,3,106.2,training
deadlift,5,1,4,3,100.0,training
deadlift,12,1,1,5,100.0,training
deadlift,12,1,2,5,100.0,training
deadlift,12,1,3,4,106.2,training
deadlift,13,1,1,5,106.2,training
deadlift,13,1,2,5,106.2,training
deadlift,13,1,3,3,112.5,training
deadlift,13,2,1,3,112.5,training
deadlift,13,2,2,3,112.5,training
deadlift,13,2,3,3,100.0,training
deadlift,14,1,1,1,118.8,training
deadlift,14,1,2,1,126.6,training
deadlift,14,1,3,3,107.8,training
deadlift,14,1,4,3,107.8,training
deadlift,15,1,1,3,112.5,training
deadlift,15,1,2,3,112.5,training
deadlift,16,1,1,2,118.8,training
deadlift,16,1,2,2,118.8,training
deadlift,16,1,3,4,106.2,training
