week_num,day_num,set_id,reps,pct_of_max,session_type
1,1,1,5,69.0,training
1,1,2,5,69.0,training
1,1,3,3,72.9,training
1,1,4,3,72.9,training
1,2,1,5,69.0,training
1,2,2,5,69.0,training
1,2,3,5,69.0,training
1,2,4,3,72.9,training
1,2,5,3,72.9,training
1,2,6,3,72.9,training
2,1,1,5,72.9,training
2,1,2,5,72.9,training
2,1,3,3,76.1,training
2,1,4,3,76.1,training
2,2,1,5,72.9,training
2,2,2,5,72.9,training
2,2,3,5,72.9,training
2,2,4,3,77.4,training
2,2,5,3,77.4,training
2,2,6,7,77.4,training
3,1,1,5,74.2,training
3,1,2,5,74.2,training
3,1,3,3,80.0,training
3,1,4,3,80.0,training
3,2,1,5,75.5,training
3,2,2,5,75.5,training
3,2,3,5,75.5,training
3,2,4,3,83.2,training
3,2,5,3,83.2,training
3,2,6,9,83.2,training
4,1,1,5,74.2,training
4,1,2,5,74.2,training
4,1,3,3,80.6,training
4,1,4,3,80.6,training
4,2,1,5,79.4,training
4,2,2,5,79.4,training
4,2,3,3,83.9,training
4,2,4,3,83.9,training
4,2,5,2,85.8,training
4,2,6,2,85.8,training
4,3,1,5,78.7,training
4,3,2,5,78.7,training
4,3,3,5,78.7,training
4,3,4,3,83.2,training
4,3,5,3,83.2,training
4,3,6,3,83.2,training
4,3,7,2,89.0,training
4,3,8,2,89.0,training
5,1,1,5,80.0,training
5,1,2,3,86.3,training
5,1,3,3,86.3,training
5,1,4,3,86.3,training
5,1,5,2,92.1,training
5,1,6,2,92.1,training
5,1,7,2,92.1,training
6,1,1,3,87.7,training
6,1,2,3,87.7,training
6,1,3,2,92.1,training
6,1,4,2,92.1,training
7,1,1,3,87.1,training
7,1,2,2,90.3,training
7,1,3,6,94.8,training
7,2,1,3,85.2,deload
7,2,2,2,90.3,deload
8,1,1,2,90.3,deload
8,1,2,1,95.5,deload
8,1,3,1,96.8,deload
8,2,1,10,12.9,test
8,2,2,6,45.2,test
8,2,3,3,64.5,test
8,2,4,1,77.4,test
8,2,5,1,90.3,test
8,2,6,1,100.0,test
8,2,7,1,105.2,test
8,2,8,3,100.0,test
