date,week_num,day_num,exercise,set_id,reps,weight_kg,session_type,pre_block_max_kg
2026-04-19,1,1,squat,1,5,107.0,training,155
2026-04-19,1,1,squat,2,5,107.0,training,155
2026-04-19,1,1,squat,3,3,113.0,training,155
2026-04-19,1,1,squat,4,3,113.0,training,155
2026-04-23,1,2,squat,1,5,107.0,training,155
2026-04-23,1,2,squat,2,5,107.0,training,155
2026-04-23,1,2,squat,3,5,107.0,training,155
2026-04-23,1,2,squat,4,3,113.0,training,155
2026-04-23,1,2,squat,5,3,113.0,training,155
2026-04-23,1,2,squat,6,3,113.0,training,155
2026-04-26,2,1,squat,1,5,113.0,training,155
2026-04-26,2,1,squat,2,5,113.0,training,155
2026-04-26,2,1,squat,3,3,118.0,training,155
2026-04-26,2,1,squat,4,3,118.0,training,155
2026-04-30,2,2,squat,1,5,113.0,training,155
2026-04-30,2,2,squat,2,5,113.0,training,155
2026-04-30,2,2,squat,3,5,113.0,training,155
2026-04-30,2,2,squat,4,3,120.0,training,155
2026-04-30,2,2,squat,5,3,120.0,training,155
2026-04-30,2,2,squat,6,7,120.0,training,155
2026-05-03,3,1,squat,1,5,115.0,training,155
2026-05-03,3,1,squat,2,5,115.0,training,155
2026-05-03,3,1,squat,3,3,124.0,training,155
2026-05-03,3,1,squat,4,3,124.0,training,155
2026-05-07,3,2,squat,1,5,117.0,training,155
2026-05-07,3,2,squat,2,5,117.0,training,155
2026-05-07,3,2,squat,3,5,117.0,training,155
2026-05-07,3,2,squat,4,3,129.0,training,155
2026-05-07,3,2,squat,5,3,129.0,training,155
2026-05-07,3,2,squat,6,9,129.0,training,155
2026-05-10,4,1,squat,1,5,115.0,training,155
2026-05-10,4,1,squat,2,5,115.0,training,155
2026-05-10,4,1,squat,3,3,125.0,training,155
2026-05-10,4,1,squat,4,3,125.0,training,155
2026-05-13,4,2,squat,1,5,123.0,training,155
2026-05-13,4,2,squat,2,5,123.0,training,155
2026-05-13,4,2,squat,3,3,130.0,training,155
2026-05-13,4,2,squat,4,3,130.0,training,155
2026-05-13,4,2,squat,5,2,133.0,training,155
2026-05-13,4,2,squat,6,2,133.0,training,155
2026-05-16,4,3,squat,1,5,122.0,training,155
2026-05-16,4,3,squat,2,5,122.0,training,155
2026-05-16,4,3,squat,3,5,122.0,training,155
2026-05-16,4,3,squat,4,3,129.0,training,155
2026-05-16,4,3,squat,5,3,129.0,training,155
2026-05-16,4,3,squat,6,3,129.0,training,155
2026-05-16,4,3,squat,7,2,138.0,training,155
2026-05-16,4,3,squat,8,2,138.0,training,155
2026-05-23,5,1,squat,1,5,124.0,training,155
2026-05-23,5,1,squat,2,3,133.7,training,155
2026-05-23,5,1,squat,3,3,133.7,training,155
2026-05-23,5,1,squat,4,3,133.7,training,155
2026-05-23,5,1,squat,5,2,142.8,training,155
2026-05-23,5,1,squat,6,2,142.8,training,155
