exercise,week_num,avg_pct_of_max,max_pct_of_max,total_volume_kg,avg_reps,num_sets,session_types
bench,1,86.10000000000001,87.5,2997.5,4.833333333333333,6,training
bench,2,87.14999999999999,91.7,3022.5,4.833333333333333,6,training
bench,3,88.2,91.7,1582.5,5.0,3,training
bench,4,89.6,93.8,2340.0,5.5,4,training
bench,5,90.0,95.8,2567.5,4.8,5,training
bench,6,90.84,100.0,2980.0,5.6,5,training
bench,7,93.06666666666666,102.1,1512.5,4.666666666666667,3,training
deadlift,1,86.63333333333334,95.3,3742.5,3.0,9,training
deadlift,2,92.225,101.6,2625.0,4.5,4,training
deadlift,3,97.675,106.2,2630.0,4.25,4,training
deadlift,4,102.725,110.9,2612.5,4.0,4,training
deadlift,5,106.625,114.1,1877.5,2.75,4,training
deadlift,12,102.06666666666666,106.2,2280.0,4.666666666666667,3,training
deadlift,13,108.31666666666666,112.5,3800.0,3.6666666666666665,6,training
deadlift,14,115.25,126.6,1427.5,2.0,4,training
deadlift,15,112.5,112.5,1080.0,3.0,2,training
deadlift,16,114.60000000000001,118.8,1440.0,2.6666666666666665,3,training
squat,1,70.95,72.9,4370.0,4.0,10,training
squat,2,74.89000000000001,77.4,5093.0,4.4,10,training
squat,3,78.45,83.2,5584.0,4.6,10,training
squat,4,81.75,89.0,7985.0,3.5555555555555554,18,training
squat,5,87.88571428571427,92.1,2680.1,2.857142857142857,7,training
squat,6,89.9,92.1,1387.2,2.5,4,training
squat,7,89.53999999999999,94.8,2243.0,3.2,5,deload/training
squat,8,79.82727272727273,105.2,2541.0,2.727272727272727,11,deload/test
